CPF;CLIENTE;CONTRATO;VENCIMENTO;VALOR;TIPO DE CONTRATO
14725836900;ANA PAULA ARÓSIO;87965412;05/02/2021;825,50;EMPRESTIMO PESSOAL
25836914722;BRUNO MAZZEO;12478569;10/02/2021;612,00;EMPRESTIMO PESSOAL
96385274166;CARLA PEREIRA;56894213;15/02/2021;95,30;CREDIARIO VAREJO
32145698777;DANIELA MERCURY;96374125;20/02/2021;1345,90;FINANCIAMENTO VEICULO
32145698777;DANIELA MERCURY;87456321;25/02/2021;210,00;CREDIARIO VAREJO
78945612311;EDUARDO COSTA;32145698;28/02/2021;2675,10;FINANCIAMENTO VEICULO
65498732199;FERNANDA LIMA;21478596;03/03/2021;705,00;CONDOMINIO
85274196300;GABRIELA DUARTE;74859631;05/03/2021;399,99;MENSALIDADE ESCOLAR
96314785288;HUMBERTO CARRÃO;32569874;07/03/2021;620,00;MENSALIDADE ESCOLAR
78912345600;ISABELLA SANTOS;98456321;09/03/2021;559,75;MENSALIDADE ESCOLAR
95135785266;JORGE LORENZO;21365489;11/03/2021;120,20;CREDIARIO VAREJO
95135785266;JORGE LORENZO;98741236;13/03/2021;1320,00;CONDOMINIO
78965412322;KARINA BACCHI;74123698;15/03/2021;85,40;CREDIARIO VAREJO
45612378999;LUCIANA GIMENEZ;89654712;17/03/2021;678,00;CONDOMINIO
45612378999;LUCIANA GIMENEZ;36987412;19/03/2021;1420,00;FINANCIAMENTO VEICULO
75395145688;MARCELO D2;78541236;21/03/2021;1580,00;FINANCIAMENTO VEICULO
15935725844;NATHALIA DILL;23654789;23/03/2021;210,00;CREDIARIO VAREJO
35715925811;OTAVIO MESQUITA;74125896;25/03/2021;1370,00;EMPRESTIMO PESSOAL
